Date,Infected,Fatal,Recovered
2020-03-14,168,0,1
2020-03-15,243,0,2
2020-03-16,328,0,3
2020-03-17,443,1,4
2020-03-18,637,1,4
2020-03-19,778,3,4
2020-03-20,1009,6,5
2020-03-21,1260,12,8
2020-03-22,1575,14,11
2020-03-23,2023,23,14
2020-03-24,2307,33,22
2020-03-25,2920,43,32
2020-03-26,3441,60,43
2020-03-27,4145,76,47
2020-03-28,5020,100,50
2020-03-29,5789,119,54
2020-03-30,6211,140,57
2020-03-31,7222,160,61
2020-04-01,8000,187,64
2020-04-02,8757,209,68
2020-04-03,9568,246,72
2020-04-04,10183,266,75
2020-04-05,10875,295,108
2020-04-06,11279,311,140
2020-04-07,11913,345,184
2020-04-08,12565,380,196
2020-04-09,13342,409,205
2020-04-10,14804,435,233
2020-04-11,15251,470,266
2020-04-12,15804,504,277
2020-04-13,16087,535,312
2020-04-14,16534,567,347
2020-04-15,17109,599,383
2020-04-16,17719,629,493
2020-04-17,17846,657,519
2020-04-18,18388,687,610
2020-04-19,18780,714,712
2020-04-20,19313,735,815
2020-04-21,19700,762,917
2020-04-22,20054,785,1143
2020-04-23,20332,820,1201
2020-04-24,20715,854,1228
2020-04-25,21114,880,1277
2020-04-26,21451,903,1329
2020-04-27,21561,928,1357
2020-04-28,21804,948,1389
2020-04-29,21881,973,1470
2020-04-30,22184,989,1519
2020-05-01,22333,1007,1647
2020-05-02,22496,1023,1671
2020-05-03,22550,1043,1689
2020-05-04,22749,1063,1712
2020-05-05,22885,1074,1743
2020-05-06,23017,1089,2076
2020-05-07,23352,1105,2258
2020-05-08,23732,1114,2422
2020-05-09,23781,1126,2499
2020-05-10,23897,1135,2549
2020-05-11,23754,1144,2781
2020-05-12,23737,1163,3013
2020-05-13,23775,1175,3182
2020-05-14,23937,1184,3198
2020-05-15,24065,1190,3328
2020-05-16,23785,1203,3822
2020-05-17,23182,1218,4636
2020-05-18,21548,1231,6430
2020-05-19,21754,1247,6431
2020-05-20,21945,1263,6452
2020-05-21,21614,1277,7021
2020-05-22,21321,1289,7590
2020-05-23,21464,1302,7705
2020-05-24,11758,1316,17549
2020-05-25,11636,1330,17822
2020-05-26,11569,1342,18096
2020-05-27,11587,1356,18349
2020-05-28,11590,1369,18637
2020-05-29,11652,1383,18911
2020-05-30,11621,1396,19186
2020-05-31,11681,1410,19409
2020-06-01,11724,1424,19552
2020-06-02,11590,1436,19869
2020-06-03,11735,1447,20079
2020-06-04,11814,1455,20323
2020-06-05,11978,1465,20526
2020-06-06,12070,1474,20807
2020-06-07,12219,1479,20995
2020-06-08,12244,1485,21156
2020-06-09,12475,1492,21339
2020-06-10,12361,1497,21742
2020-06-11,12404,1504,22002
2020-06-12,12475,1505,22200
2020-06-13,12513,1512,22438
2020-06-14,12504,1517,22669
2020-06-15,12664,1520,22852
2020-06-16,12602,1522,23212
2020-06-17,12569,1523,23580
2020-06-18,12555,1524,24010
2020-06-19,12460,1527,24477
2020-06-20,12407,1528,24906
2020-06-21,12227,1530,25376
2020-06-22,12310,1534,25548
2020-06-23,12368,1540,25829
2020-06-24,12478,1543,26083
2020-06-25,12484,1549,26382
2020-06-26,12678,1555,26633
2020-06-27,12764,1561,26864
2020-06-28,13016,1564,27066
2020-06-29,13139,1568,27205
2020-06-30,13090,1576,27505
2020-07-01,13146,1579,27798
2020-07-02,13217,1587,28097
2020-07-03,13334,1598,28424
2020-07-04,13392,1605,28772
2020-07-05,13466,1614,29017
2020-07-06,13543,1620,29166
2020-07-07,13542,1629,29445
2020-07-08,13714,1631,29714
2020-07-09,13784,1644,30049
2020-07-10,13883,1646,30350
2020-07-11,13912,1654,30655
2020-07-12,13945,1660,30907
2020-07-13,14091,1662,31065
2020-07-14,13833,1668,31550
2020-07-15,13640,1676,32110
2020-07-16,13610,1679,32476
2020-07-17,13605,1682,32790
