Date,Confirmed,Fatal,Infected,Recovered
2020-03-14,169,0,168,1
2020-03-15,200,1,198,1
2020-03-16,237,2,233,2
2020-03-17,281,3,275,3
2020-03-18,332,5,324,3
2020-03-19,393,7,382,4
2020-03-20,465,9,451,5
2020-03-21,550,12,531,7
2020-03-22,649,15,626,8
2020-03-23,767,19,738,10
2020-03-24,905,23,870,12
2020-03-25,1067,28,1025,14
2020-03-26,1259,34,1208,17
2020-03-27,1485,41,1424,20
2020-03-28,1751,49,1678,24
2020-03-29,2066,59,1978,29
2020-03-30,2437,71,2332,34
2020-03-31,2874,84,2749,41
2020-04-01,3387,100,3239,48
2020-04-02,3992,119,3816,57
2020-04-03,4706,141,4497,68
2020-04-04,5549,168,5301,80
2020-04-05,6543,199,6249,95
2020-04-06,7713,235,7366,112
2020-04-07,9093,278,8682,133
2020-04-08,10719,329,10233,157
2020-04-09,12629,388,12056,185
2020-04-10,14879,459,14202,218
2020-04-11,17529,541,16731,257
2020-04-12,20656,639,19714,303
2020-04-13,24346,754,23234,358
2020-04-14,28693,890,27381,422
2020-04-15,33808,1049,32261,498
2020-04-16,39829,1237,38005,587
2020-04-17,46913,1458,44763,692
2020-04-18,55252,1719,52717,816
2020-04-19,65063,2025,62077,961
2020-04-20,20863,735,19313,815
2020-04-21,21150,753,19257,1140
2020-04-22,21436,771,19201,1464
2020-04-23,21722,789,19145,1788
2020-04-24,22006,806,19090,2110
2020-04-25,22289,824,19034,2431
2020-04-26,22573,842,18979,2752
2020-04-27,22854,859,18924,3071
2020-04-28,23136,877,18869,3390
2020-04-29,23416,894,18814,3708
2020-04-30,23697,912,18760,4025
2020-05-01,23974,929,18705,4340
2020-05-02,24253,947,18651,4655
2020-05-03,24530,964,18597,4969
2020-05-04,24806,981,18543,5282
2020-05-05,25082,998,18489,5595
2020-05-06,25356,1015,18435,5906
2020-05-07,25631,1033,18382,6216
2020-05-08,25904,1050,18328,6526
2020-05-09,26176,1067,18275,6834
2020-05-10,26448,1084,18222,7142
2020-05-11,26718,1100,18169,7449
2020-05-12,26988,1117,18116,7755
2020-05-13,27257,1134,18063,8060
2020-05-14,27526,1151,18011,8364
2020-05-15,27793,1168,17958,8667
2020-05-16,28059,1184,17906,8969
2020-05-17,28326,1201,17854,9271
2020-05-18,28591,1217,17802,9572
2020-05-19,28855,1234,17750,9871
2020-05-20,29119,1250,17699,10170
2020-05-21,29382,1267,17647,10468
2020-05-22,29644,1283,17596,10765
2020-05-23,29904,1299,17544,11061
2020-05-24,30166,1316,17493,11357
2020-05-25,30425,1332,17442,11651
2020-05-26,30685,1348,17392,11945
2020-05-27,30943,1364,17341,12238
2020-05-28,31200,1380,17290,12530
2020-05-29,31457,1396,17240,12821
2020-05-30,31713,1412,17190,13111
2020-05-31,31969,1428,17140,13401
2020-06-01,32223,1444,17090,13689
2020-06-02,32477,1460,17040,13977
2020-06-03,32730,1476,16990,14264
2020-06-04,32983,1492,16941,14550
2020-06-05,33233,1507,16891,14835
2020-06-06,33484,1523,16842,15119
2020-06-07,33734,1538,16793,15403
2020-06-08,33984,1554,16744,15686
2020-06-09,34233,1570,16695,15968
2020-06-10,34480,1585,16646,16249
2020-06-11,34727,1600,16598,16529
2020-06-12,34973,1616,16549,16808
2020-06-13,35219,1631,16501,17087
2020-06-14,35464,1646,16453,17365
2020-06-15,35709,1662,16405,17642
