Scenario,Phase,Type,Start,End,Population,ODE,Rt,theta,kappa,rho,sigma,tau,1/beta [day],1/gamma [day],1/alpha2 [day],alpha1 [-],RMSLE,Trials,Runtime
Main,0th,Past,14Mar2020,19Apr2020,10283822,SIR-F,35.94,0.018610283371212295,0.0010818817993766446,0.08616251028812554,0.0012708206099173842,720,5,393,462,0.019,0.5864455051816911,595.0,1 min  0 sec
Main,1st,Past,20Apr2020,06Jul2020,10283822,SIR-F,0.83,0.05352173313328231,6.62257990656106e-05,0.0074581529302143144,0.008430498667780116,720,67,59,7549,0.054,0.37208500767356556,756.0,1 min 20 sec
Main,2nd,Past,07Jul2020,24Sep2020,10283822,SIR-F,1.19,0.0005937414900824571,0.00011362684719531444,0.009437816352779804,0.007814357830747725,720,52,63,4400,0.001,0.08101421000549096,920.0,1 min 41 sec
Main,3rd,Past,25Sep2020,21Oct2020,10283822,SIR-F,2.11,8.608800689464784e-05,0.00014419487467832504,0.018304955404261823,0.00853170940870403,720,27,58,3467,0.0,0.028510811146368588,942.0,1 min 41 sec
Main,4th,Past,22Oct2020,04Nov2020,10283822,SIR-F,1.9,0.0006630126567262449,0.00025506525616225917,0.03287669991846245,0.017054836501983004,720,15,29,1960,0.001,0.01610185286584198,1103.0,2 min  1 sec
Main,5th,Past,05Nov2020,14Nov2020,10283822,SIR-F,1.66,0.00041266727447347045,0.0003623317451914218,0.03844992068592147,0.022833310701729215,720,13,21,1379,0.0,0.015790015532434292,790.0,1 min 20 sec
Main,6th,Past,15Nov2020,23Nov2020,10283822,SIR-F,0.91,0.0008192586711023322,0.00043258250260100925,0.0328017315002471,0.035611647425368785,720,15,14,1155,0.001,0.04889655842872241,609.0,1 min  0 sec
Main,7th,Past,24Nov2020,03Dec2020,10283822,SIR-F,0.94,0.0011676626856547394,0.000432338156120396,0.02906454830120632,0.030330155539690543,720,17,16,1156,0.001,0.016519046616563747,866.0,1 min 30 sec
Main,8th,Past,04Dec2020,15Dec2020,10283822,SIR-F,0.87,0.00029629855525323615,0.0005652988190582867,0.022863483312432757,0.025819378583515865,720,21,19,884,0.0,0.017504966518311453,1073.0,1 min 30 sec
Main,9th,Past,16Dec2020,29Dec2020,10283822,SIR-F,1.06,0.015624476514352822,0.0001663995013144258,0.023181052681178017,0.021460170342005105,720,21,23,3004,0.016,0.014035128029814927,518.0,0 min 50 sec
Main,10th,Past,30Dec2020,06Jan2021,10283822,SIR-F,2.12,0.00020118940106534158,0.00046569798491764153,0.03347029028981152,0.015297851165527681,720,14,32,1073,0.0,0.01305310123076921,1125.0,1 min 20 sec
Main,11th,Past,07Jan2021,13Jan2021,10283822,SIR-F,1.79,0.0006871814445744456,0.000628960971145923,0.04297010510809542,0.023407394950282524,720,11,21,794,0.001,0.012705376118398351,423.0,0 min 40 sec
Main,12th,Past,14Jan2021,20Jan2021,10283822,SIR-F,1.5,0.0014597071904601858,0.0005950829542388189,0.04310988895287838,0.028018025868581202,720,11,17,840,0.001,0.008606391732084547,225.0,0 min 20 sec
Main,13th,Past,21Jan2021,26Jan2021,10283822,SIR-F,1.7,0.00045692045874321744,0.0008396445676172788,0.038853367652973626,0.02206477803110501,720,12,22,595,0.0,0.01325034490846426,754.0,0 min 50 sec
Main,14th,Past,27Jan2021,01Feb2021,10283822,SIR-F,1.26,0.0016182647234666905,0.0007499723423317334,0.033395293607761306,0.02575274668688564,720,14,19,666,0.002,0.012493580192109464,235.0,0 min 20 sec
Main,15th,Past,02Feb2021,10Feb2021,10283822,SIR-F,0.56,0.0282503107958941,0.00016261328105658418,0.020777074654733926,0.0356928459212629,720,24,14,3074,0.028,0.016635340434071805,302.0,0 min 20 sec
Main,16th,Past,11Feb2021,07Mar2021,10283822,SIR-F,0.35,0.02497530957174354,0.00026192927282845226,0.008108740227805715,0.022495238627430157,720,61,22,1908,0.025,0.028095804810570578,791.0,0 min 50 sec
Main,17th,Future,08Mar2021,07Mar2022,10283822,SIR-F,0.35,0.02497530957174354,0.00026192927282845226,0.008108740227805715,0.022495238627430157,720,61,22,1908,0.025,-,-,-
Forecast,0th,Past,14Mar2020,19Apr2020,10283822,SIR-F,35.94,0.018610283371212295,0.0010818817993766446,0.08616251028812554,0.0012708206099173842,720,5,393,462,0.019,0.5864455051816911,595.0,1 min  0 sec
Forecast,1st,Past,20Apr2020,06Jul2020,10283822,SIR-F,0.83,0.05352173313328231,6.62257990656106e-05,0.0074581529302143144,0.008430498667780116,720,67,59,7549,0.054,0.37208500767356556,756.0,1 min 20 sec
Forecast,2nd,Past,07Jul2020,24Sep2020,10283822,SIR-F,1.19,0.0005937414900824571,0.00011362684719531444,0.009437816352779804,0.007814357830747725,720,52,63,4400,0.001,0.08101421000549096,920.0,1 min 41 sec
Forecast,3rd,Past,25Sep2020,21Oct2020,10283822,SIR-F,2.11,8.608800689464784e-05,0.00014419487467832504,0.018304955404261823,0.00853170940870403,720,27,58,3467,0.0,0.028510811146368588,942.0,1 min 41 sec
Forecast,4th,Past,22Oct2020,04Nov2020,10283822,SIR-F,1.9,0.0006630126567262449,0.00025506525616225917,0.03287669991846245,0.017054836501983004,720,15,29,1960,0.001,0.01610185286584198,1103.0,2 min  1 sec
Forecast,5th,Past,05Nov2020,14Nov2020,10283822,SIR-F,1.66,0.00041266727447347045,0.0003623317451914218,0.03844992068592147,0.022833310701729215,720,13,21,1379,0.0,0.015790015532434292,790.0,1 min 20 sec
Forecast,6th,Past,15Nov2020,23Nov2020,10283822,SIR-F,0.91,0.0008192586711023322,0.00043258250260100925,0.0328017315002471,0.035611647425368785,720,15,14,1155,0.001,0.04889655842872241,609.0,1 min  0 sec
Forecast,7th,Past,24Nov2020,03Dec2020,10283822,SIR-F,0.94,0.0011676626856547394,0.000432338156120396,0.02906454830120632,0.030330155539690543,720,17,16,1156,0.001,0.016519046616563747,866.0,1 min 30 sec
Forecast,8th,Past,04Dec2020,15Dec2020,10283822,SIR-F,0.87,0.00029629855525323615,0.0005652988190582867,0.022863483312432757,0.025819378583515865,720,21,19,884,0.0,0.017504966518311453,1073.0,1 min 30 sec
Forecast,9th,Past,16Dec2020,29Dec2020,10283822,SIR-F,1.06,0.015624476514352822,0.0001663995013144258,0.023181052681178017,0.021460170342005105,720,21,23,3004,0.016,0.014035128029814927,518.0,0 min 50 sec
Forecast,10th,Past,30Dec2020,06Jan2021,10283822,SIR-F,2.12,0.00020118940106534158,0.00046569798491764153,0.03347029028981152,0.015297851165527681,720,14,32,1073,0.0,0.01305310123076921,1125.0,1 min 20 sec
Forecast,11th,Past,07Jan2021,13Jan2021,10283822,SIR-F,1.79,0.0006871814445744456,0.000628960971145923,0.04297010510809542,0.023407394950282524,720,11,21,794,0.001,0.012705376118398351,423.0,0 min 40 sec
Forecast,12th,Past,14Jan2021,20Jan2021,10283822,SIR-F,1.5,0.0014597071904601858,0.0005950829542388189,0.04310988895287838,0.028018025868581202,720,11,17,840,0.001,0.008606391732084547,225.0,0 min 20 sec
Forecast,13th,Past,21Jan2021,26Jan2021,10283822,SIR-F,1.7,0.00045692045874321744,0.0008396445676172788,0.038853367652973626,0.02206477803110501,720,12,22,595,0.0,0.01325034490846426,754.0,0 min 50 sec
Forecast,14th,Past,27Jan2021,01Feb2021,10283822,SIR-F,1.26,0.0016182647234666905,0.0007499723423317334,0.033395293607761306,0.02575274668688564,720,14,19,666,0.002,0.012493580192109464,235.0,0 min 20 sec
Forecast,15th,Past,02Feb2021,10Feb2021,10283822,SIR-F,0.56,0.0282503107958941,0.00016261328105658418,0.020777074654733926,0.0356928459212629,720,24,14,3074,0.028,0.016635340434071805,302.0,0 min 20 sec
